gamePk,event_name,game_date,home_team,away_team,venue_name,venue_id
716934,San Francisco Giants at Atlanta Braves,2023-08-19,Atlanta Braves,San Francisco Giants,Truist Park,4705
716927,San Francisco Giants at Atlanta Braves,2023-08-20,Atlanta Braves,San Francisco Giants,Truist Park,4705
716910,New York Mets at Atlanta Braves,2023-08-21,Atlanta Braves,New York Mets,Truist Park,4705
716891,New York Mets at Atlanta Braves,2023-08-22,Atlanta Braves,New York Mets,Truist Park,4705
716876,New York Mets at Atlanta Braves,2023-08-23,Atlanta Braves,New York Mets,Truist Park,4705
716709,St. Louis Cardinals at Atlanta Braves,2023-09-05,Atlanta Braves,St. Louis Cardinals,Truist Park,4705
716689,St. Louis Cardinals at Atlanta Braves,2023-09-06,Atlanta Braves,St. Louis Cardinals,Truist Park,4705
716680,St. Louis Cardinals at Atlanta Braves,2023-09-07,Atlanta Braves,St. Louis Cardinals,Truist Park,4705
716674,Pittsburgh Pirates at Atlanta Braves,2023-09-08,Atlanta Braves,Pittsburgh Pirates,Truist Park,4705
716651,Pittsburgh Pirates at Atlanta Braves,2023-09-09,Atlanta Braves,Pittsburgh Pirates,Truist Park,4705
716644,Pittsburgh Pirates at Atlanta Braves,2023-09-10,Atlanta Braves,Pittsburgh Pirates,Truist Park,4705
716532,Philadelphia Phillies at Atlanta Braves,2023-09-18,Atlanta Braves,Philadelphia Phillies,Truist Park,4705
716521,Philadelphia Phillies at Atlanta Braves,2023-09-19,Atlanta Braves,Philadelphia Phillies,Truist Park,4705
716509,Philadelphia Phillies at Atlanta Braves,2023-09-20,Atlanta Braves,Philadelphia Phillies,Truist Park,4705
716429,Chicago Cubs at Atlanta Braves,2023-09-26,Atlanta Braves,Chicago Cubs,Truist Park,4705
716412,Chicago Cubs at Atlanta Braves,2023-09-27,Atlanta Braves,Chicago Cubs,Truist Park,4705
716399,Chicago Cubs at Atlanta Braves,2023-09-28,Atlanta Braves,Chicago Cubs,Truist Park,4705
716394,Washington Nationals at Atlanta Braves,2023-09-29,Atlanta Braves,Washington Nationals,Truist Park,4705
716369,Washington Nationals at Atlanta Braves,2023-09-30,Atlanta Braves,Washington Nationals,Truist Park,4705
716354,Washington Nationals at Atlanta Braves,2023-10-01,Atlanta Braves,Washington Nationals,Truist Park,4705
748562,Philadelphia Phillies at Atlanta Braves,2023-10-07,Atlanta Braves,Philadelphia Phillies,Truist Park,4705
748563,Philadelphia Phillies at Atlanta Braves,2023-10-09,Atlanta Braves,Philadelphia Phillies,Truist Park,4705
748244,Boston Red Sox at Atlanta Braves,2024-02-25,Atlanta Braves,Boston Red Sox,CoolToday Park,5380
748228,Baltimore Orioles at Atlanta Braves,2024-02-26,Atlanta Braves,Baltimore Orioles,CoolToday Park,5380
748178,Minnesota Twins at Atlanta Braves,2024-02-29,Atlanta Braves,Minnesota Twins,CoolToday Park,5380
748166,Baltimore Orioles at Atlanta Braves,2024-03-01,Atlanta Braves,Baltimore Orioles,CoolToday Park,5380
748127,Philadelphia Phillies at Atlanta Braves,2024-03-03,Atlanta Braves,Philadelphia Phillies,CoolToday Park,5380
748103,Detroit Tigers at Atlanta Braves,2024-03-05,Atlanta Braves,Detroit Tigers,CoolToday Park,5380
748064,Pittsburgh Pirates at Atlanta Braves,2024-03-08,Atlanta Braves,Pittsburgh Pirates,CoolToday Park,5380
748055,Baltimore Orioles at Atlanta Braves,2024-03-09,Atlanta Braves,Baltimore Orioles,CoolToday Park,5380
748014,Minnesota Twins at Atlanta Braves,2024-03-11,Atlanta Braves,Minnesota Twins,CoolToday Park,5380
747971,Tampa Bay Rays at Atlanta Braves,2024-03-14,Atlanta Braves,Tampa Bay Rays,CoolToday Park,5380
747946,Pittsburgh Pirates at Atlanta Braves,2024-03-16,Atlanta Braves,Pittsburgh Pirates,CoolToday Park,5380
747929,Boston Red Sox at Atlanta Braves,2024-03-17,Atlanta Braves,Boston Red Sox,CoolToday Park,5380
747885,Toronto Blue Jays at Atlanta Braves,2024-03-20,Atlanta Braves,Toronto Blue Jays,CoolToday Park,5380
747870,New York Yankees at Atlanta Braves,2024-03-21,Atlanta Braves,New York Yankees,CoolToday Park,5380
747842,Tampa Bay Rays at Atlanta Braves,2024-03-23,Atlanta Braves,Tampa Bay Rays,CoolToday Park,5380
747813,Minnesota Twins at Atlanta Braves,2024-03-25,Atlanta Braves,Minnesota Twins,CoolToday Park,5380
747143,Arizona Diamondbacks at Atlanta Braves,2024-04-05,Atlanta Braves,Arizona Diamondbacks,Truist Park,4705
747140,Arizona Diamondbacks at Atlanta Braves,2024-04-06,Atlanta Braves,Arizona Diamondbacks,Truist Park,4705
747141,Arizona Diamondbacks at Atlanta Braves,2024-04-07,Atlanta Braves,Arizona Diamondbacks,Truist Park,4705
747142,New York Mets at Atlanta Braves,2024-04-08,Atlanta Braves,New York Mets,Truist Park,4705
747138,New York Mets at Atlanta Braves,2024-04-09,Atlanta Braves,New York Mets,Truist Park,4705
747139,New York Mets at Atlanta Braves,2024-04-10,Atlanta Braves,New York Mets,Truist Park,4705
747137,New York Mets at Atlanta Braves,2024-04-11,Atlanta Braves,New York Mets,Truist Park,4705
747136,Texas Rangers at Atlanta Braves,2024-04-19,Atlanta Braves,Texas Rangers,Truist Park,4705
747135,Texas Rangers at Atlanta Braves,2024-04-20,Atlanta Braves,Texas Rangers,Truist Park,4705
747133,Texas Rangers at Atlanta Braves,2024-04-21,Atlanta Braves,Texas Rangers,Truist Park,4705
747134,Miami Marlins at Atlanta Braves,2024-04-22,Atlanta Braves,Miami Marlins,Truist Park,4705
747130,Miami Marlins at Atlanta Braves,2024-04-23,Atlanta Braves,Miami Marlins,Truist Park,4705
747132,Miami Marlins at Atlanta Braves,2024-04-24,Atlanta Braves,Miami Marlins,Truist Park,4705
747129,Cleveland Guardians at Atlanta Braves,2024-04-26,Atlanta Braves,Cleveland Guardians,Truist Park,4705
